# Table of globular clusters and dwarf spheroidals structural parameters from Vitral 2021 (Table C1). 
# If you use this table, please acknowledge our work (see 'Attribution'): https://gitlab.com/eduardo-vitral/balrogo#attribution 
# All the information of this table is derived in Vitral 2021, apart from the distances, which were taken from Baumgardt et al. 2019. 
# - - DEGREES DEGREES KPC MASYR MASYR MASYR MASYR - ARCMIN ARCMIN 
# ID OTHER_ID RA DEC D PMRA PMDEC ERR_PMRA ERR_PMDEC SD_MODEL RH ERR_RH 
NGC6333         M9                    259.79907       -18.51627   8.40   -2.170   -3.229    0.008    0.008   S       2.30   0.03
NGC6341         M92                   259.28081        43.13600   8.44   -4.935   -0.630    0.004    0.004   S       2.66   0.01
NGC6342         Blank                 260.29224       -19.58745   8.43   -2.912   -7.118    0.011    0.010   S       2.16   0.16
NGC6352         Blank                 261.37069       -48.42210   5.30   -2.164   -4.443    0.006    0.006   S       3.00   0.08
NGC6355         Blank                 260.99435       -26.35342   8.70   -4.748   -0.561    0.015    0.015   S       1.13   0.16
NGC6356         Blank                 260.89577       -17.81304  15.10   -3.764   -3.401    0.008    0.008   S       2.01   0.07
NGC6362         Blank                 262.97906       -67.04835   7.36   -5.509   -4.763    0.003    0.003   S       2.74   0.02
NGC6366         Blank                 261.93433        -5.07988   3.79   -0.348   -5.159    0.005    0.005   S       3.38   0.04
NGC6380         Blank                 263.61666       -39.06918   9.80   -2.158   -3.223    0.019    0.019   S       0.90   0.05
NGC6388         Blank                 264.07275       -44.73566  10.74   -1.309   -2.707    0.008    0.008   S       2.48   0.02
NGC6397         Blank                 265.17540       -53.67441   2.44    3.256  -17.654    0.003    0.003   S       5.77   0.05
NGC6401         Blank                 264.65386       -23.90874   7.70   -2.762    1.434    0.016    0.016   S       0.69   0.05
NGC6402         M14                   264.40062        -3.24594   9.31   -3.590   -5.070    0.008    0.008   S       2.21   0.01
NGC6426         Blank                 266.22795         3.17013  19.80   -1.808   -2.996    0.012    0.012   P       0.83   0.03
NGC6440         Blank                 267.21945       -20.35960   8.24   -1.195   -3.969    0.018    0.018   S       1.07   0.06
